main_id,sample_year,population_untransformed
1163,1940,10
1163,1941,20
1163,1942,31
1163,1943,40
1163,1944,25
1163,1945,25
1163,1946,28
1163,1947,32
1163,1948,45
1163,1949,61
1163,1950,46
1163,1951,31
1163,1952,28
1163,1953,30
1163,1954,31
1163,1955,51
1163,1956,32
1163,1957,45
1163,1958,22
1163,1959,28
1163,1960,31
1163,1961,27
1163,1962,19
1163,1963,20
1163,1964,21
1163,1965,25
1163,1966,22
1163,1967,14
1163,1968,16
1163,1969,13
1163,1970,14
1163,1971,5
1163,1972,9
1163,1973,8
1163,1974,12
1163,1975,10
1163,1976,7
